2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.1°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.2°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.3°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.6°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.4°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.6°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.5°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.9°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.6°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.8°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.7°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.9°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.9°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.0°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.1°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.3°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.3°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.3°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.4°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.5°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.7°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 17.9°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.6°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.6°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.8°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 17.9°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.1°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.2°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.3°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.4°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.5°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.6°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.8°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 19.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 18.9°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 18.7°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 19.0°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
